id,text,anger,disgust,fear,joy,sadness,surprise
eng_train_track_a_00001,"Colorado, middle of nowhere.",0,0,1,0,0,1
eng_train_track_a_00002,This involved swimming a pretty large lake that was over my head.,0,0,1,0,0,0
eng_train_track_a_00003,It was one of my most shameful experiences.,0,0,1,0,1,0
eng_train_track_a_00004,"After all, I had vegetables coming out my ears all for the benefit of the young prince.",0,0,0,0,0,0
eng_train_track_a_00005,Then the screaming started.,0,0,1,0,1,1
eng_train_track_a_00006,"They don't fear death, and it seems they believe in reincarnation.",0,0,1,0,0,1
eng_train_track_a_00007,You know what happens when I get one of these stupid ideas in my head.,1,0,1,0,0,0
eng_train_track_a_00008,My stomach even started giving me fits.,0,0,1,0,1,0
eng_train_track_a_00009,"Well, as we're bowling, my dinner began to not sit well with me, and I had to run to the bathroom.",0,0,1,0,0,0
eng_train_track_a_00010,Hondas are notoriously great cars for long trips for their dependability and great gas mileage.,0,0,0,1,0,0
eng_train_track_a_00011,It's his reflection.,0,0,0,0,0,1
eng_train_track_a_00012,"not mine, and not that horrible, but i was browsing the personnel files last week and noticed that my boss' birthday had occurred 3 days prior.",0,0,0,0,0,1
eng_train_track_a_00013,"i pushed standing up for a while and emerald crowned, but got pretty tired and laid on the bed on my side while matthias held my leg up and that's how emerald came out!",0,0,0,1,0,0
eng_train_track_a_00014,"Now my parents live in the foothills, and the college is in a large valley.",0,0,0,0,0,0
eng_train_track_a_00015,"Fortunately the kindly ajeoshis and ajummas that I rented the scooter from helped me get on a bus to the other ferry, but not before pulling me up a seat to thier table and shoving succulant watermelon in my face.",0,0,0,1,0,1
eng_train_track_a_00016,I remember being scared shitless.,0,0,1,0,0,0
eng_train_track_a_00017,That was the last time anyone saw her.,0,0,1,0,1,0
eng_train_track_a_00018,The stone inside my heart was removed; ).,0,0,0,1,0,0
eng_train_track_a_00019,"Not only was I not able to move, I smacked my head against the guy sitting in front me and things just got awkward.",1,0,1,0,0,0
eng_train_track_a_00020,I didn't see any light yet it still seemed to glow.,0,0,1,0,0,1
eng_train_track_a_00021,I unwrapped the candy and popped it into my mouth.,0,0,0,1,0,0
eng_train_track_a_00022,Remember the farm-ette?,0,0,0,1,0,1
eng_train_track_a_00023,I took offense to this because as a supervisor I wanted my team to be in good spirits and wanted them to love coming in to work and doing good things for the mission.,1,0,0,0,0,0
eng_train_track_a_00024,""" She awoke from this odd dream and told her mum to wake up her sister.",0,0,1,0,0,1
eng_train_track_a_00025,It broke my heart and nearly ruined me.,0,0,1,0,1,0
eng_train_track_a_00026,"R-I get home and park, just when I think everything is about to turn around, I slip on the ice, and fall flat on my back.",0,0,1,0,0,1
eng_train_track_a_00027,"She said that I shouldn't do ANYTHING with my finger, not even type.",0,0,1,0,0,0
eng_train_track_a_00028,"It definitely makes my hand feel weird, and I haven't thrown up yet.",0,0,1,0,0,0
eng_train_track_a_00029,Now when I have too much to do my brain just gets distracted by all the other jobs jostling for attention.,0,0,1,0,0,0
eng_train_track_a_00030,I expect them to come in the backdoor any second but I hear nothing.,0,0,1,0,0,1
eng_train_track_a_00031,The rattling in my brain clogs my nose.,0,0,1,0,1,0
eng_train_track_a_00032,I had to turn my head back into the stream of water just so I didn't burst out laughing and lose it right there.,0,0,0,1,0,0
eng_train_track_a_00033,"So when the laughing fit stopped, back to my seat I went with a big ole smile across my face.",0,0,0,1,0,0
eng_train_track_a_00034,"""I lost the towel.",0,0,1,0,0,0
eng_train_track_a_00035,Sets the power/entity free.,0,0,1,1,0,1
eng_train_track_a_00036,This is causing some of the puffiness in his face and sometimes causes a severe headache.,0,0,1,0,1,0
eng_train_track_a_00037,There was apparently then some awkward laughter and apologies and my grandpa and his friends were dismissed.,1,0,1,0,1,1
eng_train_track_a_00038,I don't stop.,0,0,1,0,0,0
eng_train_track_a_00039,I got lie after lie.,1,0,1,0,1,0
eng_train_track_a_00040,"After scratching my head, I headed to the front yard, where there are no trees, on the off chance that something truly weird had caused a limb to plop down on my house.",0,0,1,0,0,1
eng_train_track_a_00041,"And I got ta tell you right here folks, that brings a tear to my eye.",0,0,0,1,1,0
eng_train_track_a_00042,I'm feeling my eyes drift a bit so I guess I better attempt to try to go to sleep... I have to go to my mom's work at 7 to help her out.,0,0,1,0,1,0
eng_train_track_a_00043,I've never met any of the other members but we all send each other x-mas cards &amp; random stuff.,0,0,0,1,0,1
eng_train_track_a_00044,The last week I've gone to bed at 7 every morning with house music blasting in my ear and have woken up with only an appetite for more.,0,0,0,1,0,0
eng_train_track_a_00045,It was one of the most spiritual moments of my life.,0,0,0,1,0,1
eng_train_track_a_00046,I definitely ended up with a plastic burn on my elbow.,0,0,1,0,0,0
eng_train_track_a_00047,"As I started to jog easily to the starting line, my leg felt a little stiff and my shin was hurting a bit.",0,0,1,0,1,0
eng_train_track_a_00048,"i asked if anyone else just saw that and right on queue my best friend says ""that hand just reach out of the entertainment center?",0,0,1,0,0,1
eng_train_track_a_00049,"I started to grip my sheets, barely breathing as my mind raced and my eyes focused, not physically seeing anything out of the ordinary as the sirens wailed outside my apartment, the 35th floor should have been enough distance to drown out the sound, but it wasn't, and I shut my eyes, leaping to the lightswitch.",0,0,1,0,0,0
eng_train_track_a_00050,I had a chocolate and got up my nerve to ask about the games.,0,0,1,1,0,0
